Date,판매량,환불,환불률,Total_Rev_gross,Rev_Net
2025-01-28,8533,822,9.63,109885.97,93508.436
2025-01-29,7197,1825,25.36,88373.31,60934.887
2025-01-30,3698,1070,28.93,45703.4,30435.17
2025-01-31,3159,944,29.88,37643.43,24580.52
2025-02-01,2121,720,33.95,24908.52,15092.37
2025-02-02,1687,528,31.3,18596.37,11949.07
2025-02-03,1378,477,34.62,15462.99,9452.24
2025-02-04,1075,392,36.47,12000.58,7023.98
2025-02-05,964,387,40.15,10308.25,5497.52
2025-02-06,982,300,30.55,10689.62,6854.77
2025-02-07,930,309,33.23,10420.81,6457.73
2025-02-08,713,289,40.53,8011.16,4425.52
2025-02-09,752,212,28.19,7957.38,5196.19
2025-02-10,913,281,30.78,9392.73,5939.82
2025-02-11,881,251,28.49,9168.37,6128.23
2025-02-12,582,277,47.59,7022.57,4090.95
2025-02-13,708,211,29.8,8625.13,5620.99
2025-02-14,670,234,34.93,8124.71,4871.35
2025-02-15,530,142,26.79,6371.6,4326.51
2025-02-16,407,141,34.64,4765.12,2837.91
2025-02-17,384,131,34.11,4635.27,2862.77
2025-02-18,267,97,36.33,4345.24,2575.83
2025-02-19,368,121,32.88,4337.59,2739.62
2025-02-20,382,107,28.01,4682.51,3137.7
2025-02-21,385,144,37.4,4764.65,2758.58
2025-02-22,323,121,37.46,3836.99,2230.65
2025-02-23,260,88,33.85,2943.6,1797.23
2025-02-24,279,89,31.9,3198.54,2018.19
2025-02-25,252,63,25.0,2930.53,2073.62
2025-02-26,229,72,31.44,2674.82,1649.87
2025-02-27,240,60,25.0,2801.67,1971.93
2025-02-28,231,67,29.0,2393.37,1852.18
2025-03-01,216,55,25.46,2601.29,1796.3
2025-03-02,164,59,35.98,1793.07,1067.83
2025-03-03,135,58,42.96,1656.66,897.41
2025-03-04,130,56,43.08,1564.29,853.38
2025-03-05,124,32,25.81,1411.47,979.61
2025-03-06,123,51,41.46,1492.87,832.12
2025-03-07,136,51,37.5,1578.03,918.73
2025-03-08,122,33,27.05,1411.48,953.32
2025-03-09,64,33,51.56,768.41,313.44
2025-03-10,76,31,40.79,961.2,542.62
2025-03-11,64,19,29.69,781.27,516.76
2025-03-12,63,29,46.03,764.39,393.74
2025-03-13,71,32,45.07,887.24,429.73
2025-03-14,91,26,28.57,1223.33,819.07
2025-03-15,86,24,27.91,1163.33,755.16
2025-03-16,142,53,37.32,1732,989.29
2025-03-17,94,49,52.13,1196.78,522.2
2025-03-18,107,43,40.19,1326.6,782.63
2025-03-19,326,86,26.38,3223.51,2151.53
2025-03-20,354,87,24.58,2608.78,1785.09
2025-03-21,382,81,21.2,2969.36,2202.75
2025-03-22,325,81,24.92,2721.02,1978.52
2025-03-23,255,83,32.55,2075.66,1328.01
2025-03-24,,,0,,
